player_id,from_club_id,to_club_id
84711,982,123
85941,703,515
86484,2790,515
90317,39,18
91315,2553,515
91970,4172,515
92164,58,515
92248,1177,443
93081,200,515
93315,678,123
93831,173,515
93844,86,25
94256,266,515
94529,12,515
95795,1132,515
95810,762,543
95950,370,2451
97562,41278,515
98131,152,515
100986,1082,515
102226,58,515
103428,173,123
103819,1241,515
104376,71085,515
106270,3,123
108710,55686,515
109217,449,515
110036,3,515
111051,1010,515
111195,1237,515
111524,34911,515
111811,1420,515
113657,6631,515
114365,71085,515
117469,428,1750
117683,6112,318
118302,7006,5551
118397,4441,413
119150,45457,419
119234,409,515
120197,316,515
121985,6195,515
124628,968,3225
125035,6335,123
125755,14589,515
125918,30120,515
127187,34911,515
128229,466,515
129588,1096,515
129684,266,3948
130394,3522,515
131075,46,515
131248,6478,515
131553,55686,515
131745,6676,515
131996,289,515
132207,2553,515
132209,2553,1241
134158,312,515
134425,234,515
134883,862,93797
135471,2790,515
136514,1025,515
138927,418,515
139304,35,515
139395,6646,2424
141099,5544,123
141810,91427,515
142310,703,515
143891,60,515
144695,2118,515
145988,141,515
146215,20590,515
146258,467,515
146608,15974,515
147555,62,5225
148004,6429,515
148345,1177,515
148455,31,515
148545,4959,515
149716,260,7084
150070,4131,515
153084,27,515
155487,34911,515
157113,2832,515
157491,312,515
157507,416,515
157539,6070,683
158104,385,515
158106,3060,316
158873,10854,515
160241,533,515
160438,2524,515
160614,970,123
160740,7831,515
161011,506,515
163847,467,515
164142,3551,515
164236,58049,39835
164254,29831,515
164265,71085,515
164729,6676,515
165334,988,43
165345,1519,1191
165532,260,123
166078,118373,123
166601,16,123
168063,265,515
168278,58049,515
168408,152,515
169497,331,515
169573,987,1241
170481,276,515
170506,10004,515
170986,27,515
171679,543,515
172678,34911,515
174694,7179,515
175988,449,515
180843,385,132
182578,10217,515
182916,826,515
183298,7831,515
183321,865,515
184528,762,515
184816,7732,515
186368,416,515
186590,281,515
186647,71085,515
186763,724,123
186798,25580,515
187024,1083,515
187290,41278,515
187492,16,515
187809,202,515
187860,982,515
188888,331,39
188911,828,515
189100,161,16214
189390,6495,515
189539,1062,515
190190,85465,515
190887,19008,515
191422,24,515
193256,9010,515
195246,79,515
195911,6107,515
196231,18,89
196782,266,515
197471,276,515
197838,2239,515
198008,1531,515
198607,715,697
199927,8970,6646
199953,252,515
200056,398,515
201193,2118,515
201311,828,515
201574,703,515
202098,15979,123
203074,660,515
203124,452,2790
203138,9961,515
203504,10004,515
204047,80,515
204103,379,515
205006,2113,515
205054,91427,515
206040,931,543
206225,1039,515
206947,2832,515
207015,1096,515
207597,82686,515
207877,252,449
208934,1241,515
209212,1237,515
209686,8054,515
212243,18303,515
212847,1237,515
213268,9010,515
213510,982,515
213841,585,515
214238,232,515
214269,20590,515
214346,467,515
214532,1420,123
215551,202,515
215977,826,273
217033,2696,515
217144,1531,940
217709,15276,515
217751,456,144
218085,5724,515
222686,8445,515
223971,1191,515
223979,23826,515
224088,152,515
224672,2463,515
224871,170,515
225569,354,515
225687,316,515
225744,43,124
226545,29700,515
228584,30120,515
229292,6429,61
229804,681,515
230356,36670,515
230784,1050,515
231471,6676,515
232219,724,515
232271,738,515
234029,533,79
234790,1226,515
234803,31,148
235412,142,515
237164,533,515
237250,45456,515
237658,1025,4172
238479,1519,515
240106,419,123
240458,6112,759
241088,4131,515
241254,6429,39835
241420,443,515
241486,1435,515
241641,281,515
243770,279,515
244221,3948,515
244260,2553,515
244261,1191,43
244724,4961,515
244792,3527,515
244940,16,515
245048,55686,515
245078,159,515
245765,2759,515
247377,1025,515
247915,18,26
248358,8818,515
248454,35,515
248483,71085,515
248732,9644,515
249730,416,515
249789,5662,515
250358,2118,515
250440,1434,515
250464,132,515
250478,762,515
251295,48,515
251812,44360,515
252608,255,515
252677,3368,515
253367,44360,46643
255501,621,123
256361,3522,6646
256680,60949,6478
256773,641,515
257474,416,6195
257528,15276,515
257685,8445,515
257988,173,515
258039,190,515
259025,7160,515
260391,10503,515
260740,20590,515
261182,14649,515
262636,924,515
264137,708,515
264870,7154,123
265093,7006,515
265254,938,515
265383,1064,515
265625,1304,515
266250,6112,515
266269,6112,515
267152,30120,515
267330,2672,81
267383,3725,515
267473,820,515
268112,1096,515
268119,465,1191
268414,68770,515
268427,71985,515
269135,2697,123
269526,242,515
271223,4467,122
271997,22,515
272206,468,515
272537,3527,6456
272587,60,515
272642,826,515
272930,1269,515
273553,316,515
274047,3527,255
276764,43,515
279079,242,515
279471,1211,515
280312,9644,255
280575,167,82
280701,232,515
281791,6107,256
282371,9644,515
282388,6195,416
282422,6676,515
283141,3551,515
283223,36,515
284730,281,46
285225,7831,515
285775,8445,515
286007,3508,515
286263,1191,515
286384,2497,515
286627,3551,515
287015,515,12004
287167,8054,515
288259,9010,515
289017,952,39835
289060,55686,515
289075,449,2441
289165,6112,324
289168,168,515
289186,4959,515
289257,1108,368
290016,61,515
290088,316,515
290261,157,7084
291758,120,515
292837,2698,515
293228,458,589
293239,4633,515
293357,941,377
294100,820,515
294857,25580,515
296695,455,515
297693,468,515
298642,45457,2156
298883,7006,515
298975,276,515
299132,38208,38204
299139,38208,43032
303420,447,515
307094,43,515
307598,4467,122
307664,14,3551
308408,316,4441
310131,2727,515
312239,13950,515
312473,306,515
312678,6890,330
313137,6631,1062
315237,55686,515
315283,385,515
318707,527,515
319623,1465,515
319723,6107,515
321685,49425,515
322065,1083,515
322073,105,18
322293,678,190
322309,61,515
322519,6429,515
322616,1434,515
322770,2262,2805
322798,255,515
322800,9644,515
324152,1241,515
324214,40812,515
324380,17149,515
325429,3592,515
326029,405,12
328770,415,1435
329055,132,515
329630,653,515
331057,9961,515
331560,610,515
331779,5776,515
332342,987,515
333815,504,515
334207,39,515
334440,964,515
334816,2553,370
334835,398,607
335003,1063,80
335461,3527,515
335744,18303,515
335997,1435,515
336271,131292,14078
337290,2805,515
337333,89,515
337516,6646,7088
337816,434,515
339235,370,515
339340,985,515
339980,60368,10301
340073,4959,515
340308,653,515
340323,4603,169
340394,430,515
340487,9010,515
340967,152,515
341141,6429,952
341530,2662,515
342063,242,515
342065,820,515
342209,91427,515
342393,5776,443
343503,27092,515
343963,10690,515
344395,27221,515
344595,6107,515
344610,2790,515
344967,788,515
345343,7831,8445
345911,12321,543
346018,466,515
346482,465,515
346499,35,515
347268,159,515
350828,9597,515
352566,6984,515
352659,141,6646
354136,70178,43119
354507,11167,131588
355633,377,515
355761,60949,515
355960,25383,515
356197,1050,398
356228,9597,515
357119,31,515
357156,89,515
357498,506,515
357778,419,416
357884,714,515
358166,12,6890
358909,653,515
359030,3527,515
359975,119,810
361071,3527,515
364370,354,515
366711,6495,22902
368887,23826,506
369078,44360,515
369678,5776,515
370846,506,244
371021,677,6574
371142,91427,515
371554,434,515
373898,970,515
374720,18577,18659
374984,1191,515
375343,55227,515
375770,7179,515
375881,447,515
376484,60949,515
376663,38204,53
376702,5776,515
379163,4172,515
379752,537,1023
379892,49425,515
380118,724,515
380996,4961,515
381469,931,515
382096,2553,515
384553,3,515
384844,3527,515
387047,89,515
387928,53646,515
389621,13726,20758
390688,3709,368
390715,25444,515
390926,4961,515
391004,82,515
391065,989,244
391720,1158,515
392124,167,515
392306,2362,515
392538,5,1025
392767,720,290
394475,54585,952
394903,2727,515
395230,14,515
395295,1103,515
395676,2790,515
396328,6107,515
396443,455,515
396536,10690,515
398163,419,1531
398808,16795,605
399258,2553,515
399369,43,515
399925,33328,515
400171,8590,1403
400203,5662,515
400680,347,172
401173,985,515
401598,452,2727
402010,2410,820
403148,5662,515
403564,511,515
403568,371,2288
403569,2553,370
404358,1519,515
405687,39,3
405786,37255,515
406791,6429,41061
407098,82,3
409114,71085,123
409153,3057,515
410425,148,515
410477,511,515
410649,2300,515
410854,9010,515
412638,377,715
413605,2239,515
414773,20590,515
416160,61336,515
416359,45457,6429
418235,29831,515
418615,982,515
419119,55686,515
420196,3329,1049
421758,2311,62
421794,938,123
422281,449,159
424019,1241,2578
424302,6107,515
425918,11,720
426781,25444,35387
427821,790,515
428502,132,515
428786,979,515
429713,88,540
430280,607,130
430484,2696,515
432403,475,60
432694,468,501
433164,8445,515
433181,749,416
434358,10004,515
434514,952,515
435236,663,10157
435494,5776,515
436374,2557,515
439877,55227,515
440827,6622,515
441216,202,1269
443726,465,515
447334,15758,18659
447801,1304,515
448466,2431,515
449345,3609,3729
449453,266,515
450427,30120,515
451042,123042,515
451317,312,515
452477,60,33
452584,9010,3057
454567,294,114
455016,964,3725
455728,1124,515
458537,170,515
459128,800,430
461512,232,515
461569,3527,2118
