player_id,player_club_id
56637,2698
57723,2698
5794,2698
63252,964
6871,2698
7252,2698
121026,2227
13113,2227
140561,339
15067,2227
18091,339
23443,339
24008,2227
24043,2227
24049,339
25823,339
28186,339
39253,2227
39792,2227
42933,2227
45343,2227
49008,339
54375,339
57895,339
57987,339
58008,2227
58949,339
59076,339
59893,2227
70767,339
92046,2227
9369,2227
9796,339
23379,9007
25820,660
28964,9007
42622,9007
42641,9007
43309,9007
43934,9007
45341,9007
45587,9007
49024,9007
58970,9007
59024,9007
59908,660
59913,9007
85563,9007
9688,660
9798,9007
120144,2740
15593,3592
15596,3592
24004,2740
25758,3592
25845,3592
28179,3592
34641,3592
35607,2740
35633,3592
36149,2740
43404,2740
55975,3592
57900,3592
58392,3592
58418,2740
58427,3592
58930,2740
58958,2740
58961,3592
59129,2740
59150,2740
61462,3592
68915,2740
86502,2740
89427,2740
91540,3592
97567,2740
104918,173
15209,173
15961,173
1725,173
18006,206
194129,206
20838,173
20857,173
22519,206
24113,173
2703,173
39467,206
41328,173
43075,206
43077,206
44717,206
48764,206
68980,206
69643,206
69646,206
70544,173
78818,206
87162,206
89082,206
89200,173
91851,173
99100,173
99106,173
108315,1177
132401,3426
144904,3426
14962,1177
15128,1177
164693,3426
187957,1177
20843,1177
20855,3426
22484,1177
22495,1177
23205,3426
23463,1177
37227,1177
37635,3426
41843,3426
44471,3426
46004,1177
48015,3426
48897,1177
52117,1177
56986,3426
62445,3426
78953,1177
89197,1177
91469,3426
95732,3426
100399,190
102043,865
102045,865
103558,190
124983,190
140446,865
1423,190
148369,865
14963,190
15765,865
16675,190
18097,865
20313,865
203412,190
21338,190
22499,865
22995,865
23492,190
23592,190
24404,190
38163,190
46478,190
48805,865
48864,865
48870,865
48907,865
68275,190
68826,865
214243,21637
103434,2414
107775,2414
109012,2778
129085,2778
153538,2414
1606,2414
186064,2778
20854,2414
22513,2778
22827,2414
22860,2778
22881,2414
22896,2778
23005,2414
23410,2778
23538,2778
34357,2778
35959,2778
42366,2414
42383,2414
43010,2414
44567,2778
44825,2778
49143,2414
50580,2414
63459,2414
66638,2778
76274,2778
74602,84
129787,6028
90024,699
26934,697
114728,10719
179624,10719
72836,2481
143556,669
29237,669
95314,669
29456,409
102284,713
62054,687
13972,419
40633,419
46083,419
51471,419
109,825
111432,2578
12575,2578
14754,2578
17386,825
21372,2578
22809,2578
23674,825
31336,825
33958,825
3413,825
34560,2578
35531,2578
36637,2578
36658,2578
36724,2578
38283,825
4251,2578
45555,2578
52270,825
53436,825
59333,825
6053,825
62855,2578
7041,825
88212,2578
88374,825
99186,825
53359,159
174001,678
27565,32017
37138,678
87142,32017
160506,447
99345,447
110326,2700
15018,2700
16760,2700
23996,2700
24131,2700
29016,2700
4257,2700
49474,2700
49485,2700
50355,2700
59187,2700
63606,2700
69006,2700
88615,2700
75816,448
136397,499
147034,499
148657,499
19061,499
191830,499
30585,499
4424,499
45538,499
52119,499
53444,499
55972,499
77394,499
79027,499
81808,499
157543,6676
162571,6676
19940,6676
24226,6676
24859,6676
29073,6676
34200,6676
34324,6676
55869,6676
65343,6676
72934,6676
7795,6676
89278,6676
96818,6676
110822,157
13073,157
138812,157
15717,157
15798,157
215114,157
38449,157
38978,157
43982,157
49656,157
49772,157
79573,157
80383,157
32860,2784
112674,9095
52915,2783
100485,318
15131,452
55709,452
88257,452
14641,208
24480,317
37080,317
49500,317
64590,317
79192,317
65236,11107
106675,11126
107218,11126
117808,11126
117812,11126
119223,11126
119224,11126
137206,932
15072,932
15076,932
15083,932
207518,932
24984,11126
26153,932
27986,11126
28937,932
34393,932
35852,932
36847,11126
37834,932
48526,11126
48987,932
49251,932
54291,11126
55336,932
57631,11126
69011,11126
70212,932
73998,11126
49030,6992
57869,3592
23141,2414
3947,1177
62462,2414
120630,232
12540,2703
145919,2703
15595,2703
16690,232
19087,232
21333,232
25850,232
26591,232
27017,2703
34542,232
36180,2703
38539,232
38782,232
38790,2703
41281,232
43716,2703
45593,232
48067,232
49462,2703
55345,2703
55743,2703
56727,2703
62524,2703
63170,232
67917,232
70229,2703
75085,2703
102740,2410
112088,1083
14937,1083
15008,1083
15077,1083
15362,2410
15570,2410
15583,1083
168337,2410
20232,1083
21750,2410
24116,1083
25740,1083
26771,1083
36688,2410
43938,1083
44318,1083
46180,2410
51164,2410
5245,1083
54287,1083
66521,2410
69683,2410
70097,2410
74725,1083
75287,2410
9644,2410
106617,12438
106619,12438
117802,121
1331,121
15112,121
15569,12438
15907,12438
181177,121
2309,121
24118,12438
24654,12438
26462,121
31068,121
3321,121
35004,121
37549,121
45858,121
48521,12438
48534,12438
52089,12438
57015,12438
65977,12438
69352,12438
73681,12438
89086,121
89589,121
98122,12438
36109,2227
43299,6414
55338,6414
57901,6414
73094,2227
90255,2227
92575,2227
24061,6996
57894,6996
60129,6996
130041,6993
32306,2477
59434,6993
148374,865
18224,865
88239,2778
89205,2778
110668,498
12518,58
129580,498
129588,58
12974,498
13292,498
14933,58
16947,58
187744,498
18807,58
21371,498
26721,58
29894,498
31776,58
31952,58
39475,58
41128,498
43012,498
44624,58
49841,498
52746,498
56821,498
59641,58
6666,498
73912,58
7784,498
92904,58
9593,58
15075,4128
15673,4128
193812,4128
194947,964
24237,4128
24429,4128
24994,4128
25889,4128
25918,4128
42812,4128
46687,4128
48586,4128
49676,4128
65966,4128
9786,4128
118074,2439
15597,2439
15743,2439
15796,2439
34512,2439
47152,2439
51420,2439
51936,2439
52895,2439
53331,2439
55356,2439
62514,2439
64667,2439
73691,2700
75441,2439
102581,2696
127325,3725
127813,2696
138399,2696
15102,3725
15666,3725
15843,3725
158865,3725
16756,3725
25023,2696
25921,2696
26082,3725
36812,3725
36903,3725
38005,3725
42853,3725
45340,2696
51274,3725
52408,3725
5452,2696
59597,3725
66133,2696
75213,2696
75214,2696
88002,2696
90471,2696
98557,2696
107803,10690
155964,6994
35245,339
39799,339
57748,6994
75631,6994
122088,2740
217760,2740
47165,4482
55763,2740
58954,2740
59826,4482
102572,9007
120211,338
43332,9007
43848,338
56698,9007
58956,9007
91727,9007
92567,338
42913,1053
69636,206
46472,5724
83910,173
69132,5817
14118,16704
15590,16704
16095,16704
195728,16704
217923,16704
35989,16704
36212,2698
39280,16704
44022,16704
46635,16704
49719,16704
51630,2698
51897,16704
56976,2698
69001,2698
73783,16704
84483,16704
94807,16704
20848,3426
24282,678
55759,3426
74865,697
14542,669
52269,409
55911,419
97576,13017
12811,2578
37837,825
45931,2578
25754,32017
119433,2783
36821,455
56354,317
57388,6676
79470,499
112930,157
13271,157
45353,157
94298,157
146279,11126
15730,11126
24912,2439
47217,2439
72482,11126
24038,6996
138335,865
45328,865
89188,865
105261,2696
3989,932
48491,2696
70484,932
151282,2410
25911,4128
38802,2410
48542,4128
54284,4128
70295,4128
76075,2410
104201,964
34396,121
38870,121
61960,121
97541,121
58072,2477
59423,2740
59442,2740
70869,2477
97835,2740
99490,2477
24880,6992
36075,4482
96498,4482
24006,2227
75109,2227
136537,6994
59978,6994
87663,6994
102142,1053
22931,190
34237,190
50577,190
15250,3426
50628,5817
100101,2727
102186,1411
13021,2727
13037,2727
13051,2727
13078,1411
13110,1411
13354,2727
13371,1411
13501,1411
18416,1411
18893,1411
192992,2727
197852,2727
21666,1411
22348,1411
23966,1411
28347,1411
29544,2727
29855,2727
30553,1411
30556,2727
30672,2727
40370,2727
42399,1411
42949,1411
62749,2727
9643,2727
101912,172
111983,172
123921,172
12908,354
13372,354
140715,354
171147,172
19363,354
21924,354
22877,354
28456,354
33343,172
33709,172
37221,354
39720,172
41100,354
42191,354
42731,172
